K,lawfulness,net,benefit,cost
0.03,0.99,-0.011048249810000002,0.00301076919,0.014059019000000002
0.03,1.0,-0.010313069000000001,0.0030411809999999996,0.013354250000000002
0.04,0.0,-0.0829686,0.0,0.0829686
0.04,0.01,-0.08223822581000001,3.367819e-05,0.082271904
0.04,0.02,-0.08150785162000002,6.735638e-05,0.08157520800000001
0.04,0.03,-0.08077747742999998,0.00010103457,0.08087851199999999
0.04,0.04,-0.08004710324,0.00013471276,0.080181816
0.04,0.05,-0.07931672905,0.00016839095,0.07948512
0.04,0.06,-0.07858635486,0.00020206914,0.078788424
0.04,0.07,-0.07785598067,0.00023574733000000003,0.078091728
0.04,0.08,-0.07712560648,0.00026942552,0.077395032
0.04,0.09,-0.07639523229,0.00030310370999999997,0.076698336
0.04,0.1,-0.0756648581,0.0003367819,0.07600164
0.04,0.11,-0.07493448391,0.00037046009,0.075304944
0.04,0.12,-0.07420410972000001,0.00040413828,0.074608248
0.04,0.13,-0.07347373553,0.00043781647,0.073911552
0.04,0.14,-0.07274336133999999,0.00047149466000000006,0.073214856
0.04,0.15,-0.07201298715,0.00050517285,0.07251816
0.04,0.16,-0.07128261296,0.00053885104,0.071821464
